t1.baidu.com                  	118.123.210.48
aq.baidu.com                  	115.239.210.223
idl.baidu.com                 	106.120.159.149
yi.baidu.com                  	106.39.162.39
izx.baidu.com                 	111.206.223.57
ix.baidu.com                  	180.76.141.217, 180.76.183.17, 182.61.35.21
cas.baidu.com                 	115.239.217.85
ls.baidu.com                  	112.34.111.68, 183.232.231.207
bde.baidu.com                 	220.181.112.111
srf.baidu.com                 	106.39.162.49
sao.baidu.com                 	117.185.17.137
mop.baidu.com                 	220.181.57.126
i7.baidu.com                  	118.123.210.48
t3.baidu.com                  	118.123.210.48
cbs.baidu.com                 	220.181.107.11
avp.baidu.com                 	115.239.217.152
alb.baidu.com                 	220.181.112.36
ce.baidu.com                  	180.149.132.208
ios.baidu.com                 	180.149.131.26
vei.baidu.com                 	115.239.211.92
xiu.baidu.com                 	106.39.162.102
fav.baidu.com                 	14.215.178.36, 14.215.178.37
xs.baidu.com                  	14.215.178.36, 14.215.178.37
kan.baidu.com                 	180.97.104.79, 180.97.33.34
tsn.baidu.com                 	115.239.217.191
iot.baidu.com                 	106.120.159.149
cf.baidu.com                  	111.202.114.26, 220.181.7.159
mo.baidu.com                  	180.149.132.232, 220.181.112.197
i5.baidu.com                  	118.123.210.49
i2.baidu.com                  	118.123.210.48
lxb.baidu.com                 	220.181.57.166
ufo.baidu.com                 	180.149.131.88, 220.181.163.54
bcp.baidu.com                 	202.108.23.198, 202.108.23.199
t5.baidu.com                  	220.181.57.78
i3.baidu.com                  	118.123.210.48
lu.baidu.com                  	115.239.217.174
roo.baidu.com                 	36.110.198.55
vd.baidu.com                  	220.181.111.244
tts.baidu.com                 	220.181.112.83
ddf.baidu.com                 	180.149.131.12
wap.baidu.com                 	220.181.7.233, 220.181.7.234
dj.baidu.com                  	180.76.141.217, 180.76.183.17
hcl.baidu.com                 	180.97.36.72
iov.baidu.com                 	180.97.33.80
pf.baidu.com                  	119.75.219.41
ca.baidu.com                  	111.202.115.77
ss.baidu.com                  	220.181.111.202, 61.135.186.150
bu.baidu.com                  	180.97.34.196
cb.baidu.com                  	14.215.177.50
csr.baidu.com                 	180.76.178.149
xy.baidu.com                  	119.75.222.81, 119.75.222.82
flp.baidu.com                 	180.149.133.152, 180.149.145.96
mbd.baidu.com                 	14.215.177.166
mm.baidu.com                  	180.149.131.201
mb.baidu.com                  	180.149.145.248, 180.149.145.249
cr.baidu.com                  	123.125.114.146
mtp.baidu.com                 	58.217.200.75
gml.baidu.com                 	103.235.46.25
do.baidu.com                  	182.61.58.78
1.baidu.com                   	61.135.186.115
dn.baidu.com                  	118.123.210.49
idu.baidu.com                 	180.76.132.153
lv.baidu.com                  	115.239.217.174
mes.baidu.com                 	61.135.162.152
bk.baidu.com                  	180.149.131.247, 180.149.133.167, 220.181.57.232
5v.baidu.com                  	180.149.144.164
ews.baidu.com                 	220.181.50.166
pay.baidu.com                 	220.181.163.227
rmp.baidu.com                 	220.181.57.166
hls.baidu.com                 	112.80.248.70, 180.97.33.189
bng.baidu.com                 	220.181.32.113
bus.baidu.com                 	180.97.33.34
adm.baidu.com                 	220.181.57.166
atj.baidu.com                 	220.181.164.67
